trialRef,frameNumber,xCoord,yCoord,orientation,height,pitch
13970,679,1285,782,213,1413,0
13970,680,1242,839,226,1417,0
13970,681,1205,907,240,1421,0
13970,682,1177,987,240,1421,0
13970,683,1151,1070,246,1407,0
13970,684,1128,1150,243,1383,0
13970,685,1106,1224,235,1347,0
13970,686,1085,1295,236,1303,0
13970,687,1059,1358,221,1242,0
13970,688,1023,1418,206,1166,0
13970,689,1030.756757,1398.945946,209.6486486,1182.594595,0
13970,690,1038.513514,1379.891892,213.2972973,1199.189189,0
13970,691,1046.27027,1360.837838,216.9459459,1215.783784,0
13970,692,1054.027027,1341.783784,220.5945946,1232.378378,0
13970,693,1061.783784,1322.72973,224.2432432,1248.972973,0
13970,694,1069.540541,1303.675676,227.8918919,1265.567568,0
13970,695,1077.297297,1284.621622,231.5405405,1282.162162,0
13970,696,1085.054054,1265.567568,235.1891892,1298.756757,0
13970,697,1092.810811,1246.513514,238.8378378,1315.351351,0
13970,698,1100.567568,1227.459459,242.4864865,1331.945946,0
13970,699,1108.324324,1208.405405,246.1351351,1348.540541,0
13970,700,1116.081081,1189.351351,249.7837838,1365.135135,0
13970,701,1123.837838,1170.297297,253.4324324,1381.72973,0
13970,702,1131.594595,1151.243243,257.0810811,1398.324324,0
13970,703,1139.351351,1132.189189,260.7297297,1414.918919,0
13970,704,1147.108108,1113.135135,264.3783784,1431.513514,0
13970,705,1154.864865,1094.081081,268.027027,1448.108108,0
13970,706,1162.621622,1075.027027,271.6756757,1464.702703,0
13970,707,1170.378378,1055.972973,275.3243243,1481.297297,0
13970,708,1178.135135,1036.918919,278.972973,1497.891892,0
13970,709,1185.891892,1017.864865,282.6216216,1514.486486,0
13970,710,1193.648649,998.8108108,286.2702703,1531.081081,0
13970,711,1201.405405,979.7567568,289.9189189,1547.675676,0
13970,712,1209.162162,960.7027027,293.5675676,1564.27027,0
13970,713,1216.918919,941.6486486,297.2162162,1580.864865,0
13970,714,1224.675676,922.5945946,300.8648649,1597.459459,0
13970,715,1232.432432,903.5405405,304.5135135,1614.054054,0
13970,716,1240.189189,884.4864865,308.1621622,1630.648649,0
13970,717,1247.945946,865.4324324,311.8108108,1647.243243,0
13970,718,1255.702703,846.3783784,315.4594595,1663.837838,0
13970,719,1263.459459,827.3243243,319.1081081,1680.432432,0
13970,720,1271.216216,808.2702703,322.7567568,1697.027027,0
13970,721,1278.972973,789.2162162,326.4054054,1713.621622,0
13970,722,1286.72973,770.1621622,330.0540541,1730.216216,0
13970,723,1294.486486,751.1081081,333.7027027,1746.810811,0
13970,724,1302.243243,732.0540541,337.3513514,1763.405405,0
13970,725,1310,713,341,1780,0
13970,726,1339,759,344,1771,0
13970,727,1369,805,344,1761,0
13970,728,1398,850,346,1744,0
13970,729,1428,890,348,1722,0
13970,730,1458,927,354,1693,0
13970,731,1492,953,185,1661,0
13970,732,1529,967,207,1631,0
13970,733,1569,959,219,1594,0
13970,734,1611,942,223,1560,0
13970,735,1654,913,238,1527,0
13970,736,1694,870,269,1486,0
13970,737,1726,816,278,1442,0
13970,738,1747,750,283,1399,0
13970,739,1757,676,285,1359,0
13970,740,1759,599,280,1328,0
13970,741,1755,522,287,1306,0
13970,742,1747,457,294,1284,0
13970,743,1733,405,315,1275,0
13970,744,1716,371,315,1275,0
13970,745,1694,354,323,1278,0
13970,746,1669,354,328,1289,0
13970,747,1642,368,340,1297,0
13970,748,1609,400,335,1314,0
13970,749,1571,439,319,1332,0
13970,750,1520,490,335,1350,0
13970,751,1492,522,355,1373,0
13970,752,1453,568,351,1396,0
13970,753,1414,614,190,1410,0
13970,754,1376,662,185,1418,0
13970,755,1335,719,352,1426,0
13970,756,1292,773,352,1425,0
13970,757,1248,825,183,1430,0
13970,758,1205,867,192,1433,0
13970,759,1161,907,190,1426,0
13970,760,1121,944,185,1418,0
13970,761,1084,973,189,1422,0
13970,762,1046,999,214,1405,0
13970,763,1048.15942,990.8115942,214.1449275,1407.565217,0
13970,764,1050.318841,982.6231884,214.2898551,1410.130435,0
13970,765,1052.478261,974.4347826,214.4347826,1412.695652,0
13970,766,1054.637681,966.2463768,214.5797101,1415.26087,0
13970,767,1056.797101,958.057971,214.7246377,1417.826087,0
13970,768,1058.956522,949.8695652,214.8695652,1420.391304,0
13970,769,1061.115942,941.6811594,215.0144928,1422.956522,0
13970,770,1063.275362,933.4927536,215.1594203,1425.521739,0
13970,771,1065.434783,925.3043478,215.3043478,1428.086957,0
13970,772,1067.594203,917.115942,215.4492754,1430.652174,0
13970,773,1069.753623,908.9275362,215.5942029,1433.217391,0
13970,774,1071.913043,900.7391304,215.7391304,1435.782609,0
13970,775,1074.072464,892.5507246,215.884058,1438.347826,0
13970,776,1076.231884,884.3623188,216.0289855,1440.913043,0
13970,777,1078.391304,876.173913,216.173913,1443.478261,0
13970,778,1080.550725,867.9855072,216.3188406,1446.043478,0
13970,779,1082.710145,859.7971014,216.4637681,1448.608696,0
13970,780,1084.869565,851.6086957,216.6086957,1451.173913,0
13970,781,1087.028986,843.4202899,216.7536232,1453.73913,0
13970,782,1089.188406,835.2318841,216.8985507,1456.304348,0
13970,783,1091.347826,827.0434783,217.0434783,1458.869565,0
13970,784,1093.507246,818.8550725,217.1884058,1461.434783,0
13970,785,1095.666667,810.6666667,217.3333333,1464,0
13970,786,1097.826087,802.4782609,217.4782609,1466.565217,0
13970,787,1099.985507,794.2898551,217.6231884,1469.130435,0
13970,788,1102.144928,786.1014493,217.7681159,1471.695652,0
13970,789,1104.304348,777.9130435,217.9130435,1474.26087,0
13970,790,1106.463768,769.7246377,218.057971,1476.826087,0
13970,791,1108.623188,761.5362319,218.2028986,1479.391304,0
13970,792,1110.782609,753.3478261,218.3478261,1481.956522,0
13970,793,1112.942029,745.1594203,218.4927536,1484.521739,0
13970,794,1115.101449,736.9710145,218.6376812,1487.086957,0
13970,795,1117.26087,728.7826087,218.7826087,1489.652174,0
13970,796,1119.42029,720.5942029,218.9275362,1492.217391,0
13970,797,1121.57971,712.4057971,219.0724638,1494.782609,0
13970,798,1123.73913,704.2173913,219.2173913,1497.347826,0
13970,799,1125.898551,696.0289855,219.3623188,1499.913043,0
13970,800,1128.057971,687.8405797,219.5072464,1502.478261,0
13970,801,1130.217391,679.6521739,219.6521739,1505.043478,0
13970,802,1132.376812,671.4637681,219.7971014,1507.608696,0
13970,803,1134.536232,663.2753623,219.942029,1510.173913,0
13970,804,1136.695652,655.0869565,220.0869565,1512.73913,0
13970,805,1138.855072,646.8985507,220.2318841,1515.304348,0
13970,806,1141.014493,638.7101449,220.3768116,1517.869565,0
13970,807,1143.173913,630.5217391,220.5217391,1520.434783,0
13970,808,1145.333333,622.3333333,220.6666667,1523,0
13970,809,1147.492754,614.1449275,220.8115942,1525.565217,0
13970,810,1149.652174,605.9565217,220.9565217,1528.130435,0
13970,811,1151.811594,597.7681159,221.1014493,1530.695652,0
13970,812,1153.971014,589.5797101,221.2463768,1533.26087,0
